tipo_item,endereco,bairro,metragem_m2,latidude,longitude,lote,observacoes
praça,rua ibira c/ alfredo batini,san remo,"5.460,28","-23,3057593","-51,1863462",2,
praça,cambuquira c/ lins,san remo,"10.751,37","-23,3062924","-51,1892074",2,
praça,poços de caldas,alvorada,"6.706,06","-23,3011865","-51,1875612",2,
area publica,juiz de fora,hedy,"672,39","-23,3162969","-51,1872618",2,
praça,joao xxiii c/ ponta grossa,dom bosco,"5.729,90","-23,3197305","-51,1662008",2,
praça,jonatas serrano c/ kansas,londrina,"6.724,69","-23,3103927","-51,1745592",2,
praça e canteiros,rua michigan,quebec,"7.704,53","-23,3202486","-51,1748537",2,
canteiros e rotatorias,rua okland c/ paulo frontin - 04 áreas,coimbra,"315,13","-23,3178793","-51,1759251",2,
praça,humaita entre monte castelo e montese (03 areas),higienopolis,"1.743,03","-23,3199768","-51,1678002",2,
lateral,cemiterio joao xxiii,higienopolis,"7.043,60","-23,3244396","-51,1703964",2,
praça,rua da urca,ipanema,"1.062,54","-23,3261815","-51,1709989",2,
area publica + cant. + rot.,rua humaita c/ rua carlos capelari,kennedy,"2.548,80","-23,3211233","-51,1742882",2,
area publica,av. maringa c/ rua detroit,kennedy,"299,96","-23,3132259","-51,1774977",2,
area publica,rua mineapolis c/ rua nova orleans,lima azevedo,"5.265,22","-23,3241652","-51,1748232",2,
praça,rua solon c/ av. maringa,maringa,"1.217,45","-23,3221766","-51,1765849",2,
rotatorias e canteiros,av. maringá entre r. joaquim de matos barretos e r. bento m. da rocha neto,maringa,"6.573,66","-23,3271845","-51,1759177",2,
area publica,rua joaquim nabuko c/ rua kioto okawate (02 areas),itamaraty,"2.050,67","-23,3201752","-51,1815587",2,
vielas,rua marquês de valença ao lado dos nºs 67 e 166 (02 áreas),itamaraty,"501,2","-23,3190025","-51,1819122",2,
canteiros,av. maringa,vários,"901,78","-23,3132259","-51,1774977",2,
praça,rua nicolau copernico c/ rua maria judith felicio / av. pref. faria lima,universitario,"4.844,26","-23,3209726","-51,1866205",2,
praça,rua humberto panza c/ rua maria judith felicio / rua aparecida a. de santana,central park resid.,"1.965,39","-23,3204972","-51,1890643",2,
area publica,rua das grevileas c/ rua das açucenas (02 areas),colina verde,"5.278,21","-23,3216325","-51,1873462",2,
fundo de vale,travessa das azaleias / rua carmelino de moraes,colina verde,"1.611,30","-23,3249481","-51,184191",2,
area publica,rua alfazema / rua carmelino de moraes ( 02 áreas ),colina verde,"2.967,10","-23,32692","-51,1856312",2,
area publica,avenida faria lima com rua flor da primavera,colina verde,"1.075,25","-23,321435","-51,1847289",2,
